Código,Produto,Categoria,Fornecedor,Custo Nota,Custo Real,Preço Venda,Taxa/Canal,Embalagem,Estoque Atual
BR0361,SABONETE AMEIXA 200ML SWISS BEAUTY,Cosméticos e Maquiagem,Atacadão de Kits,9.1,9.1,20.99,0,0.5,1
BR0379,ESFOLIANTE PITAYA 220G SWISS BEAUTY,Cosméticos e Maquiagem,Atacadão de Kits,9.7,9.7,20.99,0,0.5,1
BR0367,LOCAO HIDRATANTE PITAYA 200G SWISS BEAUTY,Cosméticos e Maquiagem,Atacadão de Kits,11.4,11.4,21.99,0,0.5,1
EC0243,BODY SPLASH ANGEL MAGIC 200ML ECO FLORA,Cosméticos e Maquiagem,Atacadão de Kits,11.5,11.5,21.99,0,0.5,1
BR0369,LOCAO HIDRATANTE MARACUJA 200G SWISS BEAUTY,Cosméticos e Maquiagem,Atacadão de Kits,11.4,11.4,21.99,0,0.5,1
EC0237,BODY SPLASH MARACUJA 200ML ECO FLORA,Cosméticos e Maquiagem,Atacadão de Kits,11.5,11.5,29.99,0,0.5,1
CH0210,ESFOLIANTE CORPO E ROSTO MARACUJA 180G CHARMELLE,Cosméticos e Maquiagem,Atacadão de Kits,6.5,6.5,15.99,0,0.5,1
BR0362,SABONETE MARACUJA 200ML SWISS BEAUTY,Cosméticos e Maquiagem,Atacadão de Kits,9.1,9.1,20.99,0,0.5,1
EC0240,BODY SPLASH PESSEGO 200ML ECO FLORA,Cosméticos e Maquiagem,Atacadão de Kits,11.5,11.5,29.99,0,0.5,1
EC0236,BODY SPLASH LA BELLE ESSENCE 200ML ECO FLORA,Cosméticos e Maquiagem,Atacadão de Kits,11.5,11.5,29.99,0,0.5,1
BR0363,SABONETE PITAYA 200ML SWISS BEAUTY,Cosméticos e Maquiagem,Atacadão de Kits,9.1,9.1,21.99,0,0.5,1
CH0209,ESFOLIANTE CORPO E ROSTO FRAMBOESA 180G CHARMELLE,Cosméticos e Maquiagem,Atacadão de Kits,6.5,6.5,21.99,0,0.5,1
BR0350,ESFOLIANTE PITAYA 100G SWISS BEAUTY,Cosméticos e Maquiagem,Atacadão de Kits,6.6,6.6,16.99,0,0.5,1
PH0072,OLEO CORPORAL ACETINADO 150ML MELANINA BY PHALLEBEAUTY PH0793,Cosméticos e Maquiagem,Atacadão de Kits,13.9,13.9,30.99,0,0.5,3
CH0210,ESFOLIANTE CORPO E ROSTO MARACUJA 180G CHARMELLE,Cosméticos e Maquiagem,Atacadão de Kits,6.5,6.5,16.99,0,0.5,1
BR0316,"GEL AROMATIZANTE SENSACAO CHOCOLATE COM MORANGO SWISS BEAUTY 240G BELKIT5,9",Cosméticos e Maquiagem,Atacadão de Kits,5.9,5.9,19.9,0,0.5,1
CH0211,ESFOLIANTE CORPO E ROSTO MELANCIA 180G CHARMELLE,Cosméticos e Maquiagem,Atacadão de Kits,6.5,6.5,16.99,0,0.5,1
BR0300,GEL HIDRATANTE AROMATIZNATE BEIJAVEL UVA SECRET WOMAN 240G BELKIT,Cosméticos e Maquiagem,Atacadão de Kits,5.9,5.9,19.9,0,0.5,1
BG0001,BODY GIRL HIDRATANTE CORPORAL GARJI MORANGO C/ CHAM305ML,Cosméticos e Maquiagem,Atacadão de Kits,5.9,5.9,19.9,0,0.5,1
CH0138,BODY SPLASH BEST INTERDIT 200ML CHARMELLE,Cosméticos e Maquiagem,Atacadão de Kits,11.5,11.5,29.99,0,0.5,1
